"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","mainstay","8","NULL","350","5.86","0.18","0.11","0","0","0","0","0","NULL","NULL","NULL","17215","2459.29","2399","2","2","NN","814.23","0.09","377.69","26","0.84","731.85","-0.03","208.89","26","0.96"
"1","network","7","30","145633","11.89","16.53","5.64","0","1","1","0","0","NULL","1.10","1.10","7103","1183.83","1009","2","2","NN|VB","732.21","-0.40","344.04","33","0.97","584.57","-0.55","109.43","28","1.00"
"1","piecemeal","9","2","267","5.59","0.12","0.07","0","0","0","0","0","NULL","NULL","NULL","12639","1579.88","1499","2","2","RB|JJ","998.59","0.71","463.08","17","0.53","918.29","0.68","282.16","21","1.00"
"1","pineapple","9","9","637","6.46","2.55","0.93","0","0","0","0","0","NULL","NULL","NULL","17378","2172.25","1601","3","2","NN","742.57","-0.29","347.76","30","0.91","651.65","-0.33","218.11","26","1.00"
"1","ragtime","7","NULL","668","6.50","0.61","0.15","0","0","0","0","0","NULL","NULL","NULL","11326","1887.67","1396","2","2","NN","715.26","-0.19","283.49","31","0.94","591.70","-0.53","90.84","27","1.00"
"1","rosewater","9","NULL","44","3.78","0.04","0.02","0","0","0","0","0","NULL","NULL","NULL","20730","2591.25","2419","3","2","NN","751.90","0.03","241.56","30","0.91","686.93","-0.23","182.58","27","1.00"
"1","scapegoat","9","1","590","6.38","1.10","0.58","0","0","0","0","0","NULL","NULL","NULL","10612","1326.50","1503","2","2","NN","790.33","0.07","292.50","33","0.97","801.04","0.28","121.81","26","0.96"
"1","shorthand","9","2","613","6.42","1.00","0.48","0","0","0","0","0","NULL","NULL","NULL","13959","1744.88","1870","2","2","NN","602.16","-0.53","141.35","32","1.00","663.70","-0.29","94.53","27","1.00"
"1","showcase","8","3","2583","7.86","0.61","0.29","0","0","0","0","0","NULL","NULL","NULL","8468","1209.71","1387","2","2","NN","677.09","-0.36","256.22","33","1.00","654.39","-0.30","91.41","28","1.00"
"1","sideboard","9","1","503","6.22","0.25","0.10","0","0","0","0","0","NULL","NULL","NULL","10161","1270.13","1382","2","2","NN","754.74","-0.02","199.92","31","0.94","664.50","-0.34","140.91","28","1.00"
