"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","SUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","BG_Sum","BG_Mean","BG_Freq_By_Pos","NSyll","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","honeybee","8","2","49","3.89","0.20","0.11","0","0","0","0","0","NULL","NULL","NULL","10085","1440.71","1958","3","2","NN","690.58","-0.13","197.55","33","1.00","656.19","-0.33","124.39","27","0.96"
"1","lamplight","9","3","18","2.89","0.12","0.06","0","0","0","0","0","NULL","NULL","NULL","8996","1124.50","1738","2","2","NN","703.06","-0.28","284.66","31","0.94","698.57","-0.21","166.39","28","1.00"
"1","litterbin","9","NULL","0","0.00","NULL","NULL","0","0","0","0","0","NULL","NULL","NULL","23927","2990.88","3449","3","2","NN|VB","1247.86","1.61","382.66","7","0.23","889.48","0.69","310.12","27","1.00"
"1","mailbag","7","NULL","99","4.60","0.10","0.05","0","0","0","0","0","NULL","NULL","NULL","5657","942.83","1403","2","2","NN","786.09","-0.17","260.12","35","1.00","629.82","-0.45","128.30","28","1.00"
"1","moonlight","9","13","1138","7.04","6.94","3.04","0","2","2","0","0","NULL","2.61","2.61","10997","1374.63","1719","2","2","NN","630.03","-0.46","188.89","33","1.00","596.31","-0.52","113.45","26","0.96"
"1","mousetrap","9","NULL","213","5.36","0.59","0.32","0","0","0","0","0","NULL","NULL","NULL","13163","1645.38","2310","2","2","NN","752.40","-0.15","321.28","35","1.00","682.11","-0.22","160.74","28","1.00"
"1","newspaper","9","65","16824","9.73","23.69","8.97","0","0","0","0","0","NULL","NULL","NULL","13321","1665.13","963","3","3","NN","600.12","-0.56","244.20","33","1.00","638.30","-0.40","133.88","27","1.00"
"1","nightlight","10","NULL","130","4.87","0.08","0.05","0","2","2","0","0","NULL","5.82","5.82","7944","882.67","1158","2","NULL","NULL","717.09","-0.23","187.30","33","0.97","659.86","-0.30","126.01","28","1.00"
"1","northeast","9","16","4204","8.34","3.22","1.54","0","0","0","0","0","NULL","NULL","NULL","14460","1807.50","2331","2","2","NN|JJ|RB","724.71","-0.14","216.92","34","1.00","641.36","-0.39","120.98","25","1.00"
"1","paintbrush","10","1","617","6.42","0.53","0.19","0","0","0","0","0","NULL","NULL","NULL","15993","1777.00","1861","2","2","NN","648.91","-0.48","187.10","34","0.97","679.19","-0.35","113.44","27","1.00"
